query,query_number,start_page,end_page
true-discount,06700,1,3
Numbers,00100,1,28
Problems-on-Trains,03800,1,7
Time-and-Distance,03600,1,3
Height-and-Distance,06900,1,2
Time-and-Work,02900,1,6
Simple-Interest,04600,1,3
Compound-Interest,04900,1,3
Profit-and-Loss,01800,1,3
Partnership,02400,1,3
Percentage,01700,1,3
Problems-on-Ages,01200,1,3
Calendar,06200,1,3
Clock,06300,1,4
Average,00600,1,3
Area,05400,1,3
Volume-and-Surface-Area,05800,1,3
Permutation-and-Combination,06500,1,3
Problems-on-Numbers,00900,1,3
problems-on-hcf-and-lcm,00200,1,6
Decimal-Fraction,00300,1,6
Simplification,00400,1,3
Square-Root-and-Cube-Root,00500,1,3
Surds-and-Indices,01600,1,3
Ratio-and-Proportion,02300,1,3
Chain-Rule,02800,1,3
Pipes-and-Cistern,03300,1,3
Boats-and-Streams,04200,1,3
Alligation-or-Mixture,04500,1,3
Logarithm,05300,1,3
Races-and-Games,06100,1,3
Stocks-and-Shares,06400,1,3
Probability,06600,1,3
Banker's-Discount,06800,1,3
Odd-Man-Out-and-Series,07000,1,3
